,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,
12204,1083,40,A perfect wrap dress.,"A great wrap dress with many buttons, the dress stays on better than any other wrap dress i ever owned.",5,1,0,General,Dresses,Dresses,
2862,863,63,Staple with a quirk,A little boxy but will be a go to basic. the off set ruffle gives interest,3,1,2,General,Tops,Knits,
17246,850,46,Islander top,"A little boxy. a little short in the waist. a little overpriced. but, the shoulder ruffle and the color are so flattering and in the mirror it just says summertime casual chic and cute.",4,1,1,General,Tops,Blouses,
22772,1086,41,,A little long but very comfortable. i've worn it to work and to a bridal shower so very versatile.,5,1,0,General Petite,Dresses,Dresses,
15547,829,20,,"A little more see-through than you would think, but has super cute smaller details! also needs to be ironed, a lot.",5,1,1,General,Tops,Blouses,
1090,829,40,Casual top,"A little shorter than expected. very billowy, so watch out for wind!

it fits well on the arms and shoulders. not too see through",4,1,0,General Petite,Tops,Blouses,
7309,862,34,,"A little thin, but overall very cute. i like it with waist high skirts.",4,1,0,General,Tops,Knits,
23091,866,55,Not boring,A little treat for me. i work from home and am sick of all my boring tops. this is a comfy little updo number.,4,1,1,General,Tops,Knits,
17519,1083,22,Cute without the belt!,A lot of reviewers have been saying that this dress is simply too busy to be wearable and they're right! i love the cut and fit of this dress but don't love the style. the awesome stylist at my retailer told me to take off the belt and then try it on with a ribbon ( like the one on the charisma sheath) and it was so much more cute. it completely changed the look of the dress and made it look more classy. the belt looks very cheap in person and a little hoochie mamma if you wear it with the dress i,3,1,0,General Petite,Dresses,Dresses,
1134,992,62,Beautiful day to evening skirt,"A lovely skirt and i'm so glad i found it before the medium sold out! having said that, i expected the medium to run small and that i'd have to squeeze into it but having tried it on this evening it's not the case at all. i nice fit. i might even have fitted into a small, which i think is the only size remaining. the skirt is very spain inspired. very flamenco! i love it! i will say that you'd need a bit of height to wear this skirt due to the length at the back. i'm 5'6"" which is tall enough fo",4,1,0,General Petite,Bottoms,Skirts,
16205,870,65,,"A lovely sweatshirt with mesh front and back cover with soucotache (sp?) handwork, with a touch of sequins for some pop! the knit sleeves are thin, but the top has some weight due to the detailing on the front and back.

the fit is tts and as shown on the model. it lays comfortable but it's not really baggy.

really lovely. glad i bought one before it was sold out.",5,1,2,General,Tops,Knits,
15176,850,39,Certainly lovely,"A lovely, creatively designed tunic that just isn't for me.  the embroidery is certainly intricate and the chambray shirt has a wearable hand, but the combination on my body type didn't look quite right, probably because i am too top heavy and apple torsoed.  i think if i were more slender, the fit would look like a flattering dress.  i had purchased the size 10 and i am 36dd 140#.",4,1,1,General,Tops,Blouses,
4895,463,32,Perfect,"A lovely, soft material with a subtle aqua pattern. i'm very fussy about seams that fit my waist, and this one fit perfectly.",5,1,0,Initmates,Intimate,Layering,
4939,1110,46,Mango beauty,"A mango beauty that resonates the color of blossoms in bloom. comfortable, effortless, and charming. i wear a size small in retailer dresses and this one fit true to size for me. tried the xs since reviews mentioned it ran large, but too tight across my average chest. looks great with denim jacket and red suede strappy sandals. also worn with a belt to accentuate waist.",5,1,0,General,Dresses,Dresses,
12433,828,36,Staple buttondowns,A must for every closet. very flattering fit - although i think the white is slightly boxier than the chambray.,5,1,0,General,Tops,Blouses,
4721,381,38,The 1 piece,"A must have 1 piece. every time i wear this i get compliments! it's very flattering, amazing quality, soft material, good support and vibrant colors! i wish this came in more colors and patterns. worth the money no questions asked!",5,1,3,Initmates,Intimate,Swim,
18996,945,38,Definitely a star!,A must have sweater with great details. it can be a star piece with leather tights or very long flare jeans. i recommend platform booties for perfect body proportion.,5,1,0,General Petite,Tops,Sweaters,
566,1037,41,Glad i took a chance on these!,"A nice alternative to jeans, good fit. i like the casual but edgy rocker look they have. will look good with booties and full length boots. i took the same size that i do in all pilcro pants.",4,1,0,General Petite,Bottoms,Jeans,
14776,873,64,,A nice comfy sweatshirt. i do wish it was just a tad longer, tends to run a little short and therefore looks a little boxy and i'm only 5'3! (i purchased the regular size not the petite)also the front wool insert is a little scratchy as it is not lined on the inside.,3,1,1,General Petite,Tops,Knits
18631,840,57,Comfortable,"A nice rayon peasant shirt - like the sleeve length. good for a fuller figure, covers all the bad sports and very comfortable.",5,1,6,General Petite,Tops,Blouses,
8497,861,34,So soft!,"A perfect basic tee!

loved how soft it is. not worth full price, but definitely one to add to your cart once on sale.",5,1,0,General,Tops,Knits,
21143,858,48,So flattering,"A perfect go-to top. looks great with jeans - dark , faded or bright white. top it with a cardigan or wear it bare - it offers a flattering fit with its high-quality, textured fabric. i normally wear a small or medium top. an extra-small fits me perfectly.",5,1,3,General Petite,Tops,Knits,
2807,1099,51,Simple summer style,A perfect little simple style summer dress just throw it on with some trendy sandals and off you go. runs true to size. just wished they would of made it in other colors and prints.,5,1,0,General Petite,Dresses,Dresses,
13945,1111,38,Love! love! love!,"A perfect summer dress! beautiful print and is extremely flattering for a curvy frame! i have worn this dress twice and have received at least 2 compliments each time! only note... wearing a bra with this dress isn't really a possibility due to the back detail. its pasties or if you're okay being ""free flowing"" & your chest isn't too large.. you can get away with it! ;)",5,1,1,General Petite,Dresses,Dresses,
7837,1059,58,,"A perfectly fun pant for a gray or sunny, winter day. i like the longer length, to the ankle on me, pairing with my kate spade black sabina combat boots and a eileen fisher black cashmere, boxy, cropped sweater. another fun option is to pull out the pink accent in the pant with a pink camisole under a black sweater. the fabric weight is good for winter, they do feel a little itchy at first but it's not noticeable after wearing them a short while.",5,1,3,General,Bottoms,Pants,
17977,831,48,Fabric not comfortable,A pretty blouse but the polyester fabric makes it incredibly warm and uncomfortable on after a while. had to return it.,3,0,0,General Petite,Tops,Blouses,
13342,1077,71,Beautiful! but big,"A really beautiful, well made dress. runs extremely big though! i'm not petite by any means and ordered a large but i'm positively swimming in it. an oversized look works for this particular dress, but i think it's supposed to be more fitted so i would recommend sizing down from what you might normally expect for a piece of this style.",5,1,0,General Petite,Dresses,Dresses,
3083,872,25,Super cute and chic top,A really great basic that can be styled a number of ways. i bought it in tan and white and received many compliments on it. the slightly off the shoulder look is really flattering and perfect for a spring or summer look.,5,1,0,General,Tops,Knits,
2713,818,57,Simply beautiful.,"A romantic find. light and airy. the color is slightly darker than shown. the soft, subtle ruffles give it just the right touch.",5,1,7,General Petite,Tops,Blouses,
1189,1060,64,Adorable,"A sales associate found this for me at my local retailer. i probably would have never thought to try it on. i am 5'1'' and normally a size 8 or a medium. the size small was still too large, so i ordered a size small petite. it fits perfectly, looks adorable on, and is so comfortable. i can't wait for the warm weather to wear it!",5,1,0,General Petite,Bottoms,Pants,
10857,1025,45,Perfect black jeans,A sales associate handed these to me while i was trying other things on. i had never tried the hoxton before. i have found my perfect black jean! they are so comfortable and they don't stretch out like others i have tried.  i am 5'4 and i roll them a few times but i like that look. i am usually a 25 and that is what i took in these.,5,1,0,General,Bottoms,Jeans,
7630,820,34,Much lovelier in person,"A sales associate suggested this top and i'm glad she did. it's easy to miss at first!

-------------------

pros:

- beautiful detailing at the bottom that isn't as evident from pics here. it really sets the top apart.

- double-layered but breathable fabric means no see-through issues and can be worn in the hot summer months ahead.

- lace detailing at the top is nice and elegant.

- roomy without being too boxy. nice flow.

- great fabric. forgiving fit.

- can be dressed up or down.

- lengt",4,1,20,General,Tops,Blouses,
6405,676,33,Adorable and unique,A scandalous mini skirt that isn't a skirt! beautiful pattern. does run a little big.,4,1,0,General,Bottoms,Shorts,
12282,1134,53,Fun fur!,A seasonal must have. nicely made. medium weight. cozy. buttons to half way down. i am petite and the xs fits with enough room for layers underneath. highly recommend.,5,1,0,General,Jackets,Outerwear,
14630,850,46,,A serious joke. i struggled with the buttons for a good 10 minutes and gave up after the 3rd button. i'm not sure what they were thinking.,1,0,5,General Petite,Tops,Blouses,
16314,1078,56,Will take you anywhere,A slip underneath makes this dress substantial. it's a good 'weather' transition dress-fall/spring. the lace is very pretty and it's an overall great dress that will take you anywhere. i plan to wear burgundy tights and brown boots with ti next weekend.,4,1,0,General Petite,Dresses,Dresses,
17693,895,56,Pretty and flowy,"A successful first date sweater. the cut is flowy so don't expect snug. the quality is average for retailer sweaters, i guess nothing will ever be pill-free? the detailing at the bust reveals a little of what lies beneath, which in my case was just a bra but in more conservative environs might have to be a camisole.",4,1,0,General,Tops,Fine gauge,
17483,831,48,Just what my closet needed,A sweet tunic with the distinctive lace hemline. the length is great - just right to wear with skinny jeans or over leggings. not too long but long enough for comfort over leggings! more of a boxy fit (just as expected). wore it with my skinny jeans and short boots and got many compliments.,4,1,1,General,Tops,Blouses,
9320,815,43,Swing away,"A swing top by tiny done right. this is a well made top that fits in all the right places, no gapping arm pit! the fabric has a design in it and i think this is a blouse that can be worn all year. the blouse does run large and depending on the chest size, you may have to go down two sizes. i went for the large at first just because swing tops are so short but realized i would need a medium and the length was still perfect. it did not flare out to where you looked like an expectant mother.",5,1,14,General Petite,Tops,Blouses,
22321,1077,40,Stunning!,"A truly gorgeous dress. ran a little too small in the shoulders for me so i had to reorder the next size up. its is very long, but i won't hesitate to have it altered. it is stunning!",4,1,2,General Petite,Dresses,Dresses,
17091,226,20,Slip pass this one,"A truly unwearable slip: scratchy fabric, bunchy skirt, teeny bodice. it feels like you are wearing wrapping paper--the foil kind.",1,0,2,Initmates,Intimate,Sleep,
14862,833,56,Love the colorful embroidery,"A versatile, pretty and feminine addition to your closet. perfect with black pants, jeans, shorts...dress it up, dress it down.",5,1,1,General,Tops,Blouses,
20421,859,39,Very pretty and comfortable,"A very beautiful, flattering, and breathable/comfortable mock neck turtleneck that's great for layering. for those unfamiliar with weston, this top - like many of their others - is essentially made of panty hose nylon. it makes for a super comfy and stretchy top, albeit a delicate one. be mindful with your hair accessories and jewelery when wearing this!

------

i wish the arms were lined - i have a large tattoo on my arm and you can see it through this, and it just looks a little odd when mixe",4,1,1,General Petite,Tops,Knits,
17260,868,53,"Cute top, but...","A very cute and comfy top that's lightweight and falls nicely... but, it does snag very easily. so far, i've worn this top once and found small snags in multiple areas. the snags might blend into the fabric texture if they did not create dark spots. the yarn/thread is a mixture of a celadon tone and black, which concentrates the black when snagged.",4,0,0,General,Tops,Knits,
13852,1078,45,Great tunic dress,A very nice fall into winter tunic. length is long enough to wear along line as a dress with tights and tall boots. i found it true to size. the color of slate blue is beautiful!,4,1,0,General,Dresses,Dresses,
7323,151,49,Lovely quality,"A very pretty pair of over-the-knee socks. i purchased the dark grey color, which has a metallic silver thread running through it. a nice subtle but glitzy touch. the knitted pattern is intricate and nicely done. i'm 5' 4"" and they do come up well above the knee. if you are walking quite a bit, they don't stay above the knee, but they do seem to stay just below the knee. because the yarn is fairly thin they don't look bunchy even if they come down a bit. i have very sensitive skin, and metallics",4,1,2,Initmates,Intimate,Legwear,
7432,948,49,Comfy cozy and cute,A very versatile and cozy top. would look great dressed up or down for a casual comfy fall day. what a fun piece for my wardrobe!,5,1,0,General,Tops,Sweaters,
2393,1078,58,Classic,"A wardrobe addition to dress up, or dress down.
the sheer sleeves are a nice detail...

(i'm 5'6"", and the length hits me at the knee.)",5,1,0,General,Dresses,Dresses,
14585,850,64,Love the ikat print,"A while back the moss ikat print appealed to me online but sometimes these style tops look maternity on me so i passed up. well abt a month ago i spotted the 'moss' in the store & had to try it! it really is cute & love the print even more in person. the size 4 was fine but the armholes exposed the bra a little & i wondered if it wld be a little too short after washing. well, the size 6 was a little longer & a tad more flowy, & oddly the armholes covered the bra (the 4 didn't). i went w/ the siz",5,1,2,General Petite,Tops,Blouses,
11086,208,31,Must see in person,"A whim of a purchase on a tops sale. i spotted the black, but went for the mauve. it's great in person, fits loosely and hangs nicely for layering. i will buy the black too when in goes on sale. 5'5"", 135lbs, 34c, curvy/muscular frame, and the small was perfect (and every a little roomy) on me.",5,1,6,Initmates,Intimate,Layering,
18444,850,34,"Great quality, high neck","A wonderfully heavy weight piece, opposed to all the swingy chambray of summer, this piece will transition wonderfully into fall. the only disadvantage is a relatively high neck, which looks lovely but can be a little restrictive at times. highly recommend!",4,1,0,General Petite,Tops,Blouses,
14402,835,41,Dreamy tunic,"Aaaaaaamazing tunic, it was love at first sight and the detail is spot on. the total weight is heavier than expected but that is due to the impeccable quality of the top.",5,1,0,General,Tops,Blouses,
16021,1056,57,Nice but inconsistent fit,About a month ago i purchased the pilcro hypen chinos in moss size 28 petite. i loved the color and fit so much that when i saw free shipping being offered i decided to get another pair. this time i ordered the color ?pink? and of course size 28 petite. well the color really isn?t pink and unlike the moss color it does not look the color online. the color is more like salmon or apricot definitely not pink. what bothered me more is the fit. this pair was too big. it?s mind-boggling why the sizing,3,1,0,General,Bottoms,Pants,
8525,312,31,,"Absolute best pair of yoga pants. they are the softest material- so comfy! i'm 5'3, 125lbs with a curvy figure and the m fit perfectly :)",5,1,2,Initmates,Intimate,Lounge,
4649,873,66,Lovely knit texture! terrific styling! a winner!,"Absolutely adorable!!! i must object to previous reviewers who have stated that the top ""fits nothing like that of the model in the photo"". i have found that it fits exactly like that ""look"". i usually wear xl but bought this one in large as the price was too good to pass up! this top affords the slightly slouchy look on top (thanks to the dolman sleeves) but with a bit more fit or i should say....with a bit better fit through the midriff than that of the model. one reviewer stated this top make",5,1,0,General,Tops,Knits,
10577,1080,61,,"Absolutely adore the simplicity and style of this dress. dress is quite flowy, the fabric under the pleats is very soft making is quite comfortable.",5,1,0,General Petite,Dresses,Dresses,
18980,1078,22,,"Absolutely adore this dress and plan onwearing it to a wedding. it is so well made and luxurious, i feel amazing in it! even more gorgeous in person",5,1,2,General,Dresses,Dresses,
11789,1079,55,Lovely.,"Absolutely adore this dress. details, fabric and deep pockets. here is the caveat at least for me. i am a typical size 6 and ordered the dress in a size 8 for a little looser, casual fit. the 8 is so small i can barely place over my shoulders and cannot button. i have reordered a size 12 and 14. perhaps the dress i received is not tagged properly. so disappointed as the item is on backorder.",5,1,4,General,Dresses,Dresses,
16429,1086,49,,"Absolutely adore this dress. soft and comfortable fabric, ankle length but could be knotted in the front to be shorten. i am usually a s but had to buy an xs. the neckline may be a bit too low, if you are flat-chested. if you happen to see this gem in stores... it is a must buy! it will sell out completely in two days. some customer went back to exchange the next day that it had arrived in-stores but it was sold out, so we had to order it. perfect for all seasons and layering.",5,1,7,General,Dresses,Dresses,
3466,939,22,Great fit and style!,"Absolutely adore this jacket. i'm typically a true medium at retailer and the medium fit perfect. the small actually fit really well to and had a little room for sweaters under it but i decided to stick with the medium just so i could bundle up if need be. so perfect and beautiful, the embroidery is gorgeous, i feel so feminine in this coat",5,1,0,General,Tops,Sweaters,
16417,1086,21,,Absolutely amazing! a must staple in every one's closet this season. i purchased the dress in a medium for a more relaxed look/feel. the silhouette is comfortable and makes for the perfect put on,5,1,13,General,Dresses,Dresses,
1501,860,52,~~so very retailer~~,"Absolutely beautiful - 

usually don't leave reviews here, but this top (material, beading, style) is so gorgeous i would be remiss if i didn't. i have a short torso, so the peplum hit me above the belly-button. it's very voluminous, but with the right pants and heels, it is a perfect outfit. as a full-time student, i'm apt to find retailer expensive - but this purchase was so very much worth it. in terms of sizing- i initially got the s to accommodate my bust (30f) but preferred the xs.",5,1,0,General,Tops,Knits,
10828,1038,57,Stunning and worth the full price.,"Absolutely beautiful and well made. this pair of jeans is perfect, no flaws whatsoever. i usually wear size 27 but bought the 26 as it fits better. 27 is very slightly loose but i think it supposed to be like that for a boyfriend jeans. i prefer it nice and fitted, so 26 works better. i'm lucky to find them still available in the store while it's not online. i didn't hesitate to buy at full price, which i rarely did. i'm so in love with my new purchase. very happy!",5,1,0,General,Bottoms,Jeans,
14787,1089,45,,"Absolutely beautiful dress. i bought a size 8 and found it tts. i typically buy 6/8 in retailer dresses. the print is gorgeous (i am a sucker for anything with poppies) and i love the silky material; hugs your curves and flows nicely. i was worried the torso would be too long based on prior reviews, and because i am of short torso, but it fits well. would definitely recommend.",5,1,1,General,Dresses,Dresses,
5901,1094,90,Gorgeous,Absolutely beautiful dress. i'm 5'11 and this dress works for tall girls:)),5,1,0,General Petite,Dresses,Dresses,
10215,936,49,A signature piece,"Absolutely beautiful jacket...the craftsmanship is amazing, and the colors remind me of a impressionist water color. the jacket runs true to size (i'm 5'7"" and 115 pounds with a 30e bust and the extra small fit perfectly). unlike the other reviewers, i didn't have issue with the bottom not lying flat or the collar bunching up. i wore it with a green leather pencil skirt and suede stilettos, but you can also wear it with skinny jeans as well.i got this very deeply discounted, and although it is i",5,1,1,General,Tops,Sweaters,
17448,836,29,Beware of washing,"Absolutely beautiful top, worn once...hand washed and that's all she wrote..ruined!! the black trim bled all over the top!! i tried everything you could imagine to get this back to normal! do not recommend!! :(",1,0,1,General,Tops,Blouses,
22895,895,41,,"Absolutely beautiful, i am extremely happy with this purchase. i bought this top a couple of months ago and have worn it many times. initially, i was a little apprehensive to order due to some of the other reviews but i found that this top is very figure flattering. it is very soft and warm and i am positive it will be in my wardrobe for quite a few years to come. i am almost sad that i will have to put it away for the season soon.",5,1,0,General Petite,Tops,Fine gauge,
4785,940,47,,Absolutely beautiful!! quality is worth it...i agree with other review and also sized down from large to medium for a more fitted look ....the color is gorgeous..lighter shade of brown...so thrilled material does not contain dreaded wool lol!,5,1,17,General,Tops,Sweaters,
971,936,58,,Absolutely beautiful. as soon as i saw the color i had to have it. looks great. i am 5 ft 2 in the color is beautiful. excellently made. very comfy. hood is not bulky,5,1,0,General,Tops,Sweaters,
6018,873,20,Would wear it every day if i could,"Absolutely fantastic top, the cut is very flattering and the colors are gorgeous in the pattern (i also bought the white).",5,1,1,General,Tops,Knits,
19786,988,54,Gorgeous skirt,Absolutely gorgeous shirt. the quality is outstanding! only problem is that it is too small. i am usually a perfect size 6 and this will not zip. returning for a size 8. you won't regret buying it!,4,1,0,General Petite,Bottoms,Skirts,
857,594,43,,"Absolutely gorgeous skirt! so feminine and curve hugging. wish i hadn't found this so late! want it in every imaginable color, but i will settle for the off white.



please bring this style back!",5,1,1,Initmates,Intimate,Lounge,
18962,820,46,,"Absolutely gorgeous top! i have purchased so many retailer tops and this is the 1st review i have ever written. this top is just that deserving for a review. stunning in so many ways. i am 5' 2"", 118 lbs and purchased a size 4. fits perfectly. maybe runs a tad small. can not wait to wear!",5,1,1,General,Tops,Blouses,
5712,1087,39,The best buy,"Absolutely gorgeous!

words can't describe the beauty of this dress!

i hope they will restock it cause i would order size s (didn't know how it runs).",5,1,8,General,Dresses,Dresses,
2545,850,54,,"Absolutely gorgeous! i bought my regular size m and while it's a little wide in the shoulders, it drapes beautifully. because i'm so short, i found the sleeves too long so i took it to my dressmaker and she shortened the sleeves about two inches so it's still elbow length and while i was there, she put in two small darts in the back so make it less boxy for my frame. can't wait to wear it - it's a beautiful material and i love the combo of the metallic sheen and velvet. so elegant. very gatsby,",5,1,0,General,Tops,Blouses,
5572,1080,45,Absolute sunshine!!!,"Absolutely gorgeous.  i never have been a yellow person but today i am converted.  all the colors are vibrant and true to the photo. i'm 5'6 and the length is perfect for flat sandals and my wedges, so i can dress it up or be stunningly casual.  i range from 14-16/ l-xl in retailer dresses.  the size is dictated by my broad shoulders. since this one is sleeveless i went with the large and it's perfect.  the nude slip has clasps to keep the straps in place and its adjustable. the slip is als",5,1,2,General,Dresses,Dresses,
12135,1078,35,,"Absolutely in love with this dress! perfect to wear to work or for a casual brunch or cookout. i'm a 34b, 27"" waist, and 36"" hip and 5'3"" and went with the xsp. very impressed with the quality and well worth the sale price.",5,1,0,General Petite,Dresses,Dresses,
731,886,25,Great casual shirt,"Absolutely in love with this shirt. the neckline is extremely flattering, and the shirt naturally comes away from the body.",4,1,0,General Petite,Tops,Knits,
18421,876,31,Can't wait for summer!!,"Absolutely in love with this top. the embroidery and back button detail make for a unique and fun look. light and airy material will be perfect in warmer weather with a cute pair of shorts. i got a size small and it fits perfectly. measurements: 5'4, 135lbs, 32e",5,1,18,General,Tops,Knits,
9991,1110,33,One of my favorites!!!!,Absolutely love everything about this dress!!! i'm 5'9 138lbs purchased a small. hits just slightly above the knee... has a fun flow to it! absolutely love the chest detail! cute buttons! and the embroidered detail is amazing!,5,1,0,General,Dresses,Dresses,
