"ID","question","questionType"
62038,"will this device hold the older samsung flip phones?",1
73037,"Does this work with a wireless charger?",1
50937,"Does it have wifi?",1
111965,"Will an HTC One M8 with an otter box fit in this armband??",1
56941,"Will this phone work with a beyond talk plan?",1
89409,"Can you rotate the phone so that it sits upright (and not horizontal as shown in the pics)?",1
56669,"Will this work with a bluetooth headset? I want to use this as an fm receiver and combo it with a bluetooth headset of my choice.",1
111187,"what type of car charger will fit the S5 without taking off Commuter case?",0
98513,"If I remove the sims card from out of this Samsung a157V (AT&amp;T) Phone &amp; replace it with a Consumer Cellular sims card will the phone work for me?",0
40897,"is this a pay as you go phone for example the 35$ att plan/",1
48473,"Does it rotate to a landscape view?",1
36350,"can it work in other countries: can this phone work in jamaica its an at&amp;t carrier an at&amp;t can so can it work",1
103063,"Is the case compatible with other Qi wireless chargers?",1
88189,"How many times does it fully charge a samsung galaxy s3?",0
29838,"what company is the phone in At&amp;t or T-Mobile?",0
74321,"will it work wit ATT go phone",1
99112,"How would this compare to the Otterbox defender",0
104344,"Does the receiver turn on with the car, or does it need to be turned on seperately each time I get in my car?",0
71647,"Is there a cord for the i phone 5? Can t make 5 work.",1
66279,"Wore mine one night, one day, it tracked my sleep. Now, The light won t even light up. Do I send it back or call cust svc?",0
15747,"Is this fair trade coffee?",1
10136,"Is this product GMO or non GMO? Thanks.",0
104717,"is unlocked for 3g(HSDPA 850, 900,1900, 2100mhz)?",1
109015,"The reviews are confusing, is this a screen protector like the glass .tr nano, or a case?",0
102856,"Several of customers complained it can t stay in the socket.We re collecting car models to research and improve.Pls tell us car model if you met.Thx",0
66327,"what network does it use",0
41354,"excuse me, do you know if it works for Samsung Google Nexus S i9023 also (not i9020) since I think the screen is slightly bigger?",0
39361,"The description says 4S but the actual name says 4, which is it?",0
68604,"where can u put money",0
45972,"Do I need a memory card with this?",1
63467,"Will Net 10 transfer minutes now on my old phone to this unit? Do I just interchange the phone card?",0
1321,"Should there be a straw attachment to reach the bottom of bottle",1
941,"I see that they are prebaked... will they withstand baking a tartlet in them?",1
94827,"What holster will accommodate the otterbox skin on a droid ultra?",0
48187,"I have HTC ChaCha a810e, found that contacts are deleted from the contact list without warning, despite the fact that there is enough memory, why?",0
32472,"Can i use the samsung galaxy note 2",1
75034,"Will this fit on an s4 with a Trident cover on it?",1
13214,"Is This Product HOT?",1
14789,"Is this Vegan? It says vegetarian but am just wondering because Vegetarian at one point used to mean no dairy/eggs/meat...?",0
3759,"Can it be sent to Mich now without freezing?",1
45631,"This is the version 2 devise, not the 2.5, which is the latest version. What is the difference between the two?",0
31107,"Does it work with an iMac? Has anyone have any experience with it or can recommend another bluetooth headset for an iMac?",0
83476,"Any more colors?",0
22969,"Can this element be used on the top of the oven?",1
42866,"noise cancelling",0
54282,"does the case come with an integrated screen protector?? not one that you would have to put yourself!!",1
14517,"do you have a list of ingredients?",1
98034,"Will it work on the T-Mobile version of the Note 3 ??",1
77799,"does this phone work with page plus phone services",1
87544,"Is operator on this device speaking in english ?????",1
79635,"is this one clear in the back",1
69994,"is this new and does it have the box it came in?",0
106312,"Does the cover lay flat? With the fold-line shown, I m curious if it lays flat or is dog-eared after a while.",1
93792,"Does this one has a screen protector?",1
75834,"will this work in my iPhone 4?",1
56246,"Will it fit the USA version of the Galaxy S3? ( I know sometimes sellers mislabel items)",1
89331,"will this charge an iphone 6?",1
79328,"what are the new dimensions (width, height, depth) of the phone with the case mounted?",0
32836,"does it have a 2.5mm plug or is it 3.5mm and can it fit the bose ae2 haedphones to make them wirrerless please anser",1
10250,"How long from purchase date before it expires?",0
31682,"How long should the initial charge take? I m going on 40 hours?",0
30617,"Will this work with the blackberry bold 9930?",1
80190,"can the ear cushions be replaced if they tear or wear out?",0
75298,"Good evening. Could you tell me if the cellphone works in Peru or any country in South America? Thank you",0
26628,"can you fill it with chilled refigerate water to make the ice quicker",1
43403,"I had the original, had great range, now use the clipper which interrupts with the phone in my pants pocket, how is strt2 range?",1
22590,"8 are these parts for the large burners for a whirlpool stove got I thought 8 inch and fits the small ones So u sent me the wrong ones",0
21376,"Will this element work on a Jenn-Air model #JDE2000W?",1
113745,"will this set work with iphones 4,5,6 models?",1
10044,"Since I just found out that this is NOT 100% Stevia - is there a 100% Stevia product out there that we can get?",0
111544,"this opera please phone or in venezuela movistar movilnet",0
85302,"will this charge my iphone 6?",1
46306,"this battery comes with some genuine packaging? .. some type box with samsung logo? .. or is just in a plastic bag ???",0
43760,"Is the case and mount available without the charging system?",1
44895,"does this watchs support 3g video call ?",1
96934,"Does this phone come with the charger or sim ejector",0
87506,"Can anyone help w/ whether or not this is actually genuine leather? ie, does the box/packaging say anything about specific materials? smell?",0
57178,"Lawal, I meant if this phone can grab the Band  2  to run at 1900 Mhz HSDPA?",0
105765,"Can it be used as hotspot to creat wifi connections?",1
89804,"Does the Lifeproof work with the Invisishield? It seems thin enough that the Lifeproof would still seal well against it.",1
6099,"Are these gluten free? Are they processed in a plant where there is wheat?",0
10347,"is it good for kids",1
48326,"Is this phone unlocked?",1
63101,"is it for galaxy S III",1
16507,"How long will they last? Are they in one large 5 pound bag?",0
110107,"How well does this slide in jeans pocket?",0
94662,"Does it fit AT&amp;T LG G2 D800?",1
74529,"What s the best way to get the phone out of the case? I feel like I m going to break one or the other right now...",0
11462,"what is the net weight of the chocolate",0
17363,"What is the sweetner used in this?",0
1521,"Does the ingredient list include hydrogenated oil?",1
29566,"Motorola MotoROKR S9 with BLUE TRIM?????",0
105855,"Will this fit model XT1045?",1
2464,"Is this real Anise Oil or is it Star Anise Oil?",0
33953,"How many watts?",0
35013,"It might seem like a stupid question but I d rather be sure. Both the back and the front of my iPhone are cracked, this repair kit can repair my phone?",0
51985,"can I send videos from my galaxy s4 with this",1
25890,"- What are the dimensions of this item?",0
112009,"does this come with all 5 battery s",1
25505,"will the part #2198597A fit my kitchenaid model #KSRG25FKWH01",1
82467,"I have the Galaxy s4 SPH-L720. Will this case fit?",1
60014,"Does it work with a Sony Ericsson",1
69849,"does it shock u",1
94695,"Does this have Wifi?",1
8057,"what is the difference between the emulsion oil and the oil?",0
74239,"will this fit the net410 phone?",1
103929,"does it show the carrier s brand and the label at the bottom that says the brand of the phone?",1
41170,"does it works for iphone 4s?",1
94201,"Does it come with the Sword? My kids dared me to ask.",1
78939,"Is this compatible with HTC ONE MAX?",1
40900,"Is this phone a net10 phone also if it is I would like to buy it",1
15452,"The World of Tea package does not indicate  organic . After reading the legal disclaimer, I guess we must assume their tea is NOT organic?",0
57211,"does it work on iphone 5",1
67535,"Is the belt clip removable?",1
1631,"What are the  natural flavors? Does it contain soy, gluten, casein, corn, nuts, peanuts, or any other common allergens?Please disclose the ingredients",0
106925,"ok, so i can use my original iphone cord that goes into the outlet and plus that into the charger?",0
9612,"How long can i keep one jar open?",0
43418,"Does it have a sim-card slot?",1
112257,"do you white color",1
346,"how to make cheese sauce",0
29185,"This will work with Verizon correct?",0
109447,"Does it really support HSDPA at 850 band? Does it work in Latin America / Ecuador?",0
42297,"I can use this headset to listen to music from my phone, or just used to answer calls?",0
109672,"Has anyone bought one of the other colors other than black for this case? How s the grip on any of those cases?",0
88005,"will this case work for a s3 mini as well?",1
106806,"could it charge a kindle fire hdx fully on one charge",1
91174,"can this case fit on Motorola Moto X XT1058 -16GB Black",1
74566,"will this ever go on sale again ??",1
9650,"how much sodium is in the seaweed chips?",0
17802,"I would feeed the peanuts to my racing pigeons. I purchased some from another supplier, but while they were Spanish peanuts they were too large. Do you have variable sizes? They should be the size we buy in the market as Spanish peanuts for eating.",1
25887,"can this dishwasher accept a custom cabinet panel as the listing suggests? I don t see it spelled out in the actual description.",1
20287,"I know a sensor can be near a steam dryer to detect a leak-but how does the unit  know  that the dryer is getting water? Do u have to turn a switch?",0
51871,"can you connect a cell phone and use the headset as a bluetooth headset?",1
61980,"The dock is shown mounting to windshield. Will it also mount to dash?",1
17024,"Is this as smooth as the old Trader Joe s almond butter. TJ s new stuff is gritty and I don t like gritty.",1
80716,"Are the valcro strips glued or stiched on armband?",0
43858,"It unlocked to GSM carrier in venezuela?",0
75137,"How do you remove the Duzign Mirage case from the phone?",0
40062,"Will this work with android phone??",1
108648,"would this product work in Sweden?",1
92503,"Does this come with a screen protector?",1
70307,"This phone works with any company in Venezuela ?",0
104506,"Is this the Virgin Mobile phone?",1
87570,"Is it possible to buy just the hard outside pieces that snap on this case?",1
26471,"Does it come in package of 1 or 2 units? the picture shows 2 but I just want to validate my understanding.",0
8003,"What is the expiration date on these 12 cartons? Thanks",0
66737,"What is the dimensions?",0
32232,"is this phone att",1
110074,"Is it working with european cards?",1
22418,"N841 is what i currently have with an ice maker. Is this unit set up so I could install my ice maker in this refrigerator?",1
68569,"How many credit cards can you fit into it and still close it comfortably? How much space is in the zipper compartment?",0
60681,"How do I find the (an) app to run this projector. I do not have a netflix account.",0
26084,"Will I need a inverter/converter to use with my 50 series Medtronic bipap?",1
62189,"is it free",1
51896,"good this phone is the same samsung galaxi Original S3, or the difference between i9300 and i9300 gt?",0
69021,"i crashed my screen , is this the right replacement ?",1
27913,"Does this hood have a recirculating or ductless option?",0
9081,"did you lose weight",1
69156,"How do you change the SIM card ?",0
71852,"does this cellphone accept all kind of simcard?",1
73256,"does this case come with the belt clip?",1
111406,"Can this fit around casing that s already on the phone or would my sparkely crystal case I have need to be removed?",1
74950,"Is this phone 4G LTE?, can I used on Metro Pcs?",0
25312,"Do you have a range control board for a frigidaire FGF348KCJ gas stove?",1
59354,"Does the white bumper stay white over time, or does it begin to discolor as many other covers do?",0
73359,"Dual SIM means that I can use two different SIM with two different phone numbers in the same phone device?",0
37111,"Can this be used to power a Raspberry Pi computer?",1
72647,"How is it at recharging an iPad?",0
75813,"What happened to the pink glitter flex case? Do they still make it for the M7?",0
109931,"Can you connect it to your laptop with bluetooth? (MacBook Pro 2010 model)",1
58592,"will an ipod touch 5th gen fit in the case and will it still be able to work underwater, eg taking pictures or videos and if so are they good quality?",0
10203,"does it have an expiration date?",1
51149,"will fit iphone 5?",1
93830,"Does it come charged or do you have to charge before you use it?",0
84653,"will it fit the samsung galaxy s2 by virgin mobile? (:",1
5505,"weight",0
68160,"Why doesn t the cable that it came with fit into my iphone 6? It is a totally different port? Am I doing something wrong?",0
54718,"Is this the authentic rilakkumabear case?",1
84827,"Does this work with the lte?",1
86777,"Does this work with tracfone BYOL",1
66349,"they will not ship to CA? Why?",0
4226,"This may sound funny but I have no idea what this tastes like....is it anything like Thai food? Thanks!",1
31701,"Can it work with Samsung S2 or S4? Thank you!",0
51870,"can u play game with it?",1
25401,"Can the color of the display screen be changed? It looks dreadful....a flashback to the 1980s",1
112047,"Is the matte back non-slip (i.e. slightly tacky to the touch)?",1
61943,"Are there any wrist lanyards to buy with this case?",1
65109,"Will after putting my phone into this  protective gel  case, will my SG III phone continue to fit into my Otter holster?",1
34979,"How reliable is this particular product?",0
78571,"Do these cases work with the Verizon S 3 mini",1
23903,"I have a four year old Whirlpool electric stove. I can t find out if they will fit my model. Any suggestions?",0
72873,"I sent a question regarding is this an authentic OtterBox Case and how do I authenticate it? Maybe it s lost in my inbox, but can t find it. Thanks",0
48638,"Does this work with Samsung galaxy tab a 10.5?",1
28279,"One more Question. The Product Dimensions reads 20X17X28.8 is this the interior or total including the outside? I need the interior specks. Thanks",0
76220,"3g and 4g browse quaband? can use any simcard in the world? international is unlocked",0
58116,"Headphone",0
99013,"Does this dock have the built in magnet that triggers the  desk  mode on the Moto X when seated?",1
95641,"Is it water resistant/ water proof?",1
81725,"How about the home button? Like, will my phone keep the home button on when I take the broken screen off to replace it?",0
24993,"Need lower rack Model FDB10LCB0",0
111400,"Why does description say that this Reiko 3-IN-1 wallet case was designed for the LG G Flex phone?",0
91243,"will this fit the RCA 7  tablet?",1
60420,"are these batteries shipping from USA? What is the average shipping time?",0
23836,"Is this faucet metal or plastic?",0
48561,"Will this phone work with a Verizon plan?",1
31898,"does this phone has any major faults, please let me know",1
101759,"I have a Galaxy S4 phone, can you tell me if this charger is compatible with my phone. I looked on their description and didn t see it?",0
41059,"is this phone a touch screen also?",1
18668,"how much calories does each sugar cube have?",0
81166,"Is the item durable?",1
54565,"does this case have a screen protector",1
17054,"how many oz. in each bag ... for the bakers bundle?",0
55861,"This is product only good for iPhones or other cell phones too?",0
66953,"The Power Pack charges my Kindles and iPads, but doesn t seem to establish a connection with a Nook HD. Is that expected? Should the Nook cable work?",0
22077,"does it melt after a while?",1
73025,"Will this work with the Morphie juice pack on iPhone 5s?",1
75944,"Do these headphones fold into a compact size for a cbilds s school backpack?",1
107503,"How is this any different than the ones at $10.99? Better materials.....hardly looks like it.",0
54694,"is it rubber or plastic?",0
7931,"What kind of Bamboo is it?",0
62841,"Do they look nice with a white phone? Since the case is black? Also the white case is dark inside as well? Do you think it looks silly at all?",0
3481,"HOW DO YOU PLANT CLIVIA?",0
41303,"Hey, I just want to make sure that I can use this phone with Tmobile",0
31858,"Good phone plans for N900: What are some good phone plans for the nokia n900?",0
43657,"the back glass with apple logo",0
40305,"Hi. Is anyone experiencing a problem with their battery while using this? I have used this item for several months without any problems but it now seems to drain my iphone battery within a couple of hours. I thought it was my phone battery but as soon...",1
80590,"HI, Do you have a model that fits the iPhone 6?",1
64004,"How does this.. like... charge? How does this thing get the power to send its signal?",0
64775,"Will it fit the Motorola Luge?",1
93746,"Has anyone tried it to charge an Asus transformer tablet?",1
84392,"is it compatible with I9515?",1
110758,"The case cover displayed online is not the same color scheme as in the description. Which is it actually?",0
54005,"Do these work with the Samsung Galaxy Note 3?",1
96495,"is this the same case they sell on case-mate.com?",1
68677,"is dual sim?",1
59376,"does this case come with a clip?",1
9143,"Are the tomatoes in oil?",1
48121,"Will this work with the Droid Maxx Cell Phone",1
42794,"Is this item compatible with the galaxy tab s 10.5",1
13100,"I placed an order for 4 packages and was told you only have 2 pkgs for 19.98 and I wanted two orders for 19.98 each order",0
30038,"Will this phone supports simplified Chinese input and display it full?",1
36119,"how can you tell if it s the Chinese version?",0
106549,"buy a phone unlocked huawei y511 cn-world that was allegedly 4 band and sent me one of 2 banda. what can i do to use of 4 band. it is a huawei y511-",0
9240,"How fresh is the turmeric root?",0
67249,"If this cannot be used on a T-Mobile iPhone 5S, why not?",0
108945,"What is the distance range of this unit.",0
56593,"What are the dimensions of this item?",0
105170,"Does this work with the lumia 1020?",1
57650,"will it work with wireless charger?",1
16660,"I need the cookie size of the Costco chocolate chip cookie to order the proper size box, does anyone know the size?",0
90494,"Can you use the phone when the flip part is closed?",1
57328,"this battery is it working with novatel mifi 2372 or not?",0
60415,"Most of replacement batteries are made in Korea....As I see in the picture, says it was made in Japan...is that right???",1
27917,"Can this hood be vented through the wall instead of the roof? And if yes, do I need any additional venting materials?",0
14749,"what are the ingredients? what type of protein is it",0
88410,"Will this receiver work with the AT&amp;T Galaxy S4 (model I337) ?",1
106099,"I put my speaker to charge and it don t charge anymore. What can i do?",0
47283,"good afternoon I am from Venezuela, I bought this phone on January 27.We place a line and I accept it,and 3 days tells me ERROR MM6. What do I do now?",0
9323,"Does this contain other ingredients or is it 100% coconut?",0
78468,"does it work on g730a mini s3 galaxy",1
50232,"does this phone R455C show you your minutes used and those remaining as you go?",1
36537,"Will this fit a Toyota corolla matrix 2004",1
112805,"does anyone know if this will work with the sony z ultra?",0
57947,"do this phone requires a sim card?",1
76765,"Will this work with the Lumia Icon?",1
38514,"What is the battery life of this phone? How is the call quality?",0
65750,"can you touch through the plastic",1
27737,"How cleanable is it?",0
25089,"How can I tell what color this unit is? I need white",0
34760,"You have audio back?",0
50283,"is this phone eligibe with prepaid verizon",1
60270,"Does this battery work with a Cricket Samsung Galaxy S3?",1
1998,"Is it possible to find out the expiration date?",1
40378,"Samsung Galaxy S2 phone from Bell Canada: I m hoping somebody out there will be kind enough to tell me if this battery and charger is compatible with the Canadian Galaxy S2 distributed by Bell Canada?",0
112482,"Has anyone tried this with a battery case?",1
97869,"Does this item work if your phone has a case on it?",1
24347,"What are the sones for this product? How much of a noise does it create in operation?",0
38013,"I&acute;ve have a dude, this cel phone working in Venezuela on 2G and 3G?",0
84519,"Is this compatible with all versions of the mini s3? I have a i8200.",1
113967,"Is this can use in iPad 4?",1
19493,"How do you keep the liquid coffee from overflowing the adapter? No matter how firmly I press down on the lid of the basket, liquid still overflows.",0
4241,"what will the expiration date be on the product?",0
26187,"is it loud?",1
35225,"will minutes roll over with this phone or can it only use 30 day plan.",0
15228,"does this product have sucralose?",1
6810,"Is there any added oil in this peanut butter? If so, does the oil sit on top of the contains inside the jar?",0
21027,"Does the alarm sound the instant the door is opened? This is crucial in protecting a swimming pool.",1
99091,"Does this screen protector work for writing with the S-Pen?",1
23792,"Can I use this if the two are stacked? Will it support the weight? Thanks!",0
89069,"For those who received a good product that charged the phone fast and were satisfied, which buyer did you choose?",0
92991,"Will this work with the Verizon SIII (I535)?",1
41113,"Can you use it like a portable battery source. use the usb port and plug to phone right into in without taking the battery out of the phone?",1
63672,"Does the Spigen Glas.tr work with Element ION 5?",1
25589,"What does code F6 mean ?",0
54927,"Does it come with screen protector?",1
105507,"will this charge an ipad mini",1
47459,"is dual sim?",1
26363,"The Hi-Temp light is on and the alarm frequently starts beeping. The temp is well below zero. Will replacing this fix the problem?",1
47787,"tmobile work with this phone?",0
44357,"Can you tether this phone to your laptop? I know there are apps that allow this such as PdaNet, however, I once read that Boost Mobile disabled the WiFi hotspot capability on their Androids. Does anyone have FIRSTHAND experience with any of the Boost...",1
65373,"would this case fit my LG Spectrum 2?",1
26198,"Can I download the logged data without the special software (e.g. as a text file)? I m wondering if this can be used with linux and mac.",1
54377,"What advantage does this have over the other less expensive 30 pin USB connectors for use with 2013-G37",0
94498,"Is this for the first generation Moto X or the second generation Moto X?",0
19433,"can you identify the snacks in this box",1
6217,"is it shipped cold",1
89510,"Will this fit for Galaxy S4 Active",1
5940,"Is this for strong nail s are not....the old box had a hand on the box is it the same thing!",1
106592,"Does it have a telephoto lens?",1
105215,"how do you turn it off",0
66280,"Does it work with the droid turbo?",1
55681,"is this pone unlocked? and can use at&amp;t? I have prepaid at&amp;t.",0
4133,"I want book a cake for my bf s birthday and it s on Oct 8,he is in NJ,zip code 07029,so when should I place my order so he can recieve it ?",0
4726,"How much probiotic does it have ? 1 billion, 10 billion etc",0
12591,"I want to know the ingredients in this for my son no jokes please",0
76580,"Does this fit the model # i545 also?",1
75680,"Is the case NFC compatible?",1
2488,"how many carbs in pancakes made with carbquik?",0
31856,"U.S. version? The Nokia N900 that is offered here on Amazon.... is it a U.S. version?",0
82105,"Will my iPhone 6 in a Lifeproof Fre case fit in this? I have trouble finding an armband with a big enough slit for my phone/case to fit into",1
110778,"Does this product interfere with the home button? does it make the home button feel recessed?",0
30793,"i have a nissan qashqai 2013, work in this model?",0
81224,"Not all battery packs allow one to charge the battery while *simultaneously* charging devices plugged into the battery. Does this unit allow for this?",1
74995,"Will the S4 fit with the flip cover on?",1
15202,"Are these bottles plastic?",1
106774,"is this phone GSM or CDMA?",0
60589,"Doest it come with warranty if it breaks ?",0
68407,"Does it fits iPhone 5?",1
13528,"i have the romeo nodel would these fit?",0
70611,"Fit for Note 3? if so it come with the cord?",0
19494,"Is this the newest version or is this the one that comes in the shorter packageing the newer version? They are the same price and it is hard to tell.",0
1258,"Will it work on Smuckers Natutal 26 oz jar?",1
88734,"Does this work for Kindle readers?",1
67510,"I was wondering if this will fit a US Tmobile Galaxy Note 2? Thanks",0
23586,"clothes arent wet all the time. suggestions to adjust water level",0
83980,"What brend is it ? Does CAD produce this phone or uses something like Samsung or other base ?",0
19411,"I know  buttermint  is part of the title but do these mints list any dairy in the ingredients?",1
3666,"How could I use this on my cloudy glass shower doors since it is in powder form?",0
3243,"is this tofu organic?",1
97025,"Hi! this iPhone work in venezuela?",0
40506,"what operatiing system does this phone come with",0
109023,"Does it have a kick stand built into the outer shell?",1
32945,"does it have speed dial?",1
71990,"does it comes with TopeakRideCaseIIQuickClickMount,forHa... stated at $18.03",1
73829,"Will this fit the Galaxy Core Prime?",1
111437,"is this case slippery?",1
45581,"hi brings the Spanish language?",0
15390,"How many people would this serve in snack portions?",0
87454,"Does this work well on dashboard plastic as opposed to windshield?",1
91263,"What carriers is this phone compatible with?",0
62382,"Does it have volume control on the unit itself??",1
87515,"does a samsung galaxy s4 fit in the armband?",1
41313,"Will this item work for T-Mobile 4G LTE?",1
24527,"do you attatch it to the one on the washer already or to the washer directly? will it fit on a whirlpool?",0
37510,"will it work for a motorola razzar maxx hd?",1
9326,"how many do you get?",0
39076,"can this phone download kik?",1
21405,"What glue should I use to connect the felt back to the trap?",0
27682,"will the kit work for a dryer frigidaire front load model: AGQ6000ES2. Thank you.",1
6160,"What color is this honey? I don t light colored honey",0
94032,"would this work with a samsung galaxy s4 tmobile sgh m919",1
12463,"how many do you get?",0
77728,"Could be Connect to 2 Bluetooth devices simultaneously? Thanks",1
112240,"Is this the international version? If not, which system languages are available on the phone?",0
41112,"Does it works for HTC sensation battery?",1
77822,"will this work for a phone that has not been unlocked?",1
22497,"What is the difference in the CWF 1012 filter and the CWF 1016 filter for the Clear 2 O pitcher",0
37432,"will it work to charge the iphone 5?",1
97112,"This phone comes unlocked in Brazil?",0
110830,"does camera have a flash",1
45240,"does this phone work with a verizon plan",1
104977,"Does the material seem to be durable? I ve had several synthetic leather cases that seem to start cracking quickly.",1
107240,"Does the wallet s magnet have any affect ony the magnetic strip on cards?",1
50845,"Do you have to have a seperate sim card or can i use bluetooth to sync this to my phone?",0
36478,"does this support full stereo audio and mic (all four connections through) or just a mono headset.?",0
67488,"Anyone order from eformart?? And how long did it take to get it??",0
